Rk 	Player 	Pos 	Age 	Tm 	G 	MP 	PER 	TS% 	3PAr 	FTr 	ORB% 	DRB% 	TRB% 	AST% 	STL% 	BLK% 	TOV% 	USG% 	  	OWS 	DWS 	WS 	WS/48 	  	OBPM 	DBPM 	BPM 	VORP
109	Tyus Jones	PG	25	MEM	6	115	18.7	.623	.488	.220	1.8	16.4	8.7	32.7	2.8	0.0	16.7	19.1		0.2	0.2	0.4	.186		3.2	2.7	5.9	0.2
110	DeAndre Jordan	C	33	PHI	1	0														0.0	0.0	0.0			0.0	0.0	0.0	0.0
111	Maxi Kleber	PF	30	DAL	6	140	16.1	.765	.838	.216	2.5	22.6	12.5	8.3	0.0	0.7	11.0	15.8		0.4	0.2	0.6	.192		2.7	1.8	4.5	0.2
112	Kevin Knox	SF	22	ATL	2	9	85.0	.926	.909	.182	0.0	27.4	13.4	0.0	11.2	0.0	20.2	76.1		0.2	0.0	0.2	1.204		47.5	15.1	62.6	0.2
113	John Konchar	SG	25	MEM	4	17	4.4	.000	1.000	.000	0.0	62.2	29.4	7.1	2.8	0.0	0.0	4.8		0.0	0.0	0.0	.047		-7.4	4.5	-2.9	0.0
114	Furkan Korkmaz	SG	24	PHI	4	12	20.2	1.500	1.000	.000	0.0	28.1	15.4	35.8	0.0	0.0	0.0	3.9		0.1	0.0	0.1	.349		7.0	7.0	14.0	0.0
115	Jonathan Kuminga	SF	19	GSW	4	25	13.6	.632	.125	.875	0.0	0.0	0.0	5.9	2.0	3.7	21.3	25.4		0.0	0.0	0.0	-0.020		-2.1	-1.1	-3.2	0.0
116	Zach LaVine	SF	26	CHI	4	153	13.4	.553	.381	.238	0.0	15.0	6.9	27.0	0.9	0.6	14.7	23.4		0.0	0.2	0.1	.044		1.3	0.6	1.9	0.1
117	Damion Lee	SG	29	GSW	2	8	20.8	.615	.250	.500	0.0	30.0	15.5	0.0	0.0	0.0	0.0	27.5		0.0	0.0	0.0	.179		-3.8	-1.9	-5.8	0.0
118	Kevon Looney	C	25	GSW	5	67	10.0	.558	.000	.444	13.3	25.1	19.4	9.3	0.7	0.0	8.5	7.9		0.1	0.1	0.2	.140		-3.7	-0.4	-4.1	0.0
119	Brook Lopez	C	33	MIL	5	144	15.1	.597	.300	.240	5.3	9.7	7.7	4.1	0.7	5.0	8.3	18.1		0.2	0.4	0.6	.203		-0.4	2.2	1.8	0.1
120	Kyle Lowry	PG	35	MIA	3	89	11.9	.496	.696	.217	0.0	14.7	7.5	24.3	1.1	3.7	10.6	14.1		0.1	0.2	0.3	.135		-0.5	1.0	0.5	0.1
121	Timothé Luwawu-Cabarrot	SF	26	ATL	4	22	3.9	.625	.750	.000	0.0	16.8	8.2	14.5	0.0	0.0	20.0	10.5		0.0	0.0	0.0	.042		-5.5	1.0	-4.5	0.0
122	Boban Marjanović	C	33	DAL	1	1	-88.1	.000	.000	.000	0.0	100.0	58.2	0.0	0.0	0.0	50.0	96.9		-0.1	0.0	-0.1	-2.594		-56.6	-11.4	-68.0	0.0
123	Naji Marshall	SF	24	NOP	6	56	14.8	.765	.000	.400	5.9	6.8	6.3	13.0	0.9	1.5	20.3	11.3		0.1	0.0	0.1	.115		1.4	1.6	3.0	0.1
124	Caleb Martin	SF	26	MIA	5	63	1.5	.342	.480	.120	3.9	9.4	6.7	0.0	4.0	1.8	13.2	21.4		-0.3	0.2	-0.1	-0.108		-8.3	-0.2	-8.5	-0.1
125	Wesley Matthews	SG	35	MIL	5	139	9.5	.657	.840	.080	1.6	8.0	5.0	7.6	1.7	1.3	10.4	9.0		0.1	0.4	0.5	.185		-1.2	3.7	2.5	0.2
126	Tyrese Maxey	PG	21	PHI	6	252	18.0	.635	.402	.217	1.6	11.1	6.8	19.3	0.8	0.4	9.0	20.7		0.7	0.2	0.9	.174		2.8	-0.1	2.7	0.3
127	Skylar Mays	SG	24	ATL	2	9	18.4	1.000	.000	.000	0.0	13.7	6.7	18.3	5.6	0.0	0.0	5.1		0.0	0.0	0.0	.243		0.1	8.1	8.2	0.0
128	CJ McCollum	SG	30	NOP	6	234	15.1	.487	.408	.208	5.2	15.7	10.1	20.5	0.9	1.8	9.9	27.9		0.2	0.0	0.2	.045		2.6	-2.0	0.6	0.2
129	Jaden McDaniels	PF	21	MIN	6	130	15.1	.713	.588	.353	4.5	9.7	7.3	5.0	0.7	7.2	13.3	14.9		0.2	0.1	0.4	.132		1.8	2.3	4.1	0.2
